"district_key","sba_2015","anc_2015","pnc_2015","coverage_2015"
"balaka",0.501529355715427,0.575452470666889,1,0.692327275460772
"blantyre",0.451867900195804,0.441274676619017,0.995963990332776,0.629702189049199
"blantyre city",0.408769993195214,0.538213293995489,1,0.648994429063568
"chikwawa",0.569585248159078,0.374703365095795,0.997645654139781,0.647311422464885
"chiradzulu",0.491528875401836,0.507061172347157,0.99711644218264,0.665235496643877
"chitipa",0.55014186552121,0.471576947720755,0.987179913551036,0.669632908931
"dedza",0.472209833126797,0.52561890397487,0.995849895182646,0.664559544094771
"dowa",0.486138846413319,0.575341975509226,0.997994722326964,0.68649184808317
"karonga",0.520225730940323,0.442181380669904,1,0.654135703870076
"kasungu",0.523673663929126,0.537236820165423,0.997940590772367,0.686283691622305
"likoma",0.428339088402062,0.675668643410636,0.997579706668303,0.700529146160334
"lilongwe",0.469558297402268,0.503257790706316,0.997646226325547,0.656820771478044
"lilongwe city",0.395038397021423,0.666912864258912,1,0.687317087093445
"machinga",0.631781387169424,0.503710180869825,0.99569672042471,0.710396096154653
"mangochi",0.532915351934108,0.460349149744768,0.990619483737838,0.661294661805571
"mchinji",0.579492204817507,0.515028320938251,0.995510099940644,0.696676875232134
"mulanje",0.492496118615862,0.454960536250413,0.991801215978917,0.646419290281731
"mwanza",0.534213617907306,0.382211201260869,0.962961868331011,0.626462229166395
"mzimba",0.520270585234879,0.570601821041784,0.989240523536087,0.69337097660425
"mzuzu city",0.411924801607764,0.540000303108985,0.992590619122352,0.648171907946367
"neno",0.569055518212048,0.567608948069125,0.998054624606932,0.711573030296035
"nkhata bay",0.488692330968697,0.573704100023521,1,0.687465476997406
"nkhotakota",0.472014625202256,0.466413716039662,0.997435868108787,0.645288069783569
"nsanje",0.580197989324176,0.435815554177198,0.99421943407632,0.670077659192565
"ntcheu",0.509531452359625,0.495816720682547,0.994076116089765,0.666474763043979
"ntchisi",0.583050068677112,0.564847711583938,0.992531003021858,0.713476261094303
"phalombe",0.540153168618156,0.622274578282778,0.993692952446221,0.718706899782385
"rumphi",0.521247173222584,0.438771090087405,0.999048325928869,0.653022196412953
"salima",0.561969469572714,0.434509359213226,0.993083319185931,0.66318738265729
"thyolo",0.436263370360815,0.444063341360147,0.99242725573545,0.624251322485471
"zomba",0.532336552081803,0.469497061056608,0.997088819015045,0.666307477384485
"zomba city",0.421527332786466,0.63659202353077,1,0.686039785439079
