"NAME_1","district_key","sba_2015","anc_2015","pnc_2015","coverage_2015","sba_2024","anc_2024","pnc_2024","coverage_2024","coverage_change","sba_2015_pct","anc_2015_pct","pnc_2015_pct","coverage_2015_pct","sba_2024_pct","anc_2024_pct","pnc_2024_pct","coverage_2024_pct","coverage_change_pct"
"Balaka","balaka",0.501529355715427,0.575452470666889,1,0.692327275460772,0.37811200825522,0.57992345226674,0.998112448450231,0.65204930299073,-0.0402779724700413,50.1529355715427,57.5452470666889,100,69.2327275460772,37.811200825522,57.992345226674,99.8112448450231,65.2049302990731,-4.02779724700413
"Blantyre","blantyre",0.451867900195804,0.441274676619017,0.995963990332776,0.629702189049199,0.332930150557188,0.565706976147934,0.990849740979339,0.629828955894821,0.000126766845621296,45.1867900195804,44.1274676619017,99.5963990332776,62.9702189049199,33.2930150557188,56.5706976147934,99.0849740979339,62.9828955894821,0.0126766845621296
"Chikwawa","chikwawa",0.569585248159078,0.374703365095795,0.997645654139781,0.647311422464885,0.377076991423906,0.481733750318557,0.986477951301012,0.615096231014492,-0.032215191450393,56.9585248159078,37.4703365095795,99.7645654139781,64.7311422464885,37.7076991423906,48.1733750318557,98.6477951301012,61.5096231014492,-3.2215191450393
"Chiradzulu","chiradzulu",0.491528875401836,0.507061172347157,0.99711644218264,0.665235496643877,0.305710545247451,0.545278396511754,0.995225379850651,0.615404773869952,-0.0498307227739254,49.1528875401836,50.7061172347157,99.711644218264,66.5235496643877,30.5710545247451,54.5278396511754,99.5225379850651,61.5404773869952,-4.98307227739254
"Chitipa","chitipa",0.55014186552121,0.471576947720755,0.987179913551036,0.669632908931,0.331825379837213,0.578133295653743,1,0.636652891830319,-0.0329800171006812,55.014186552121,47.1576947720755,98.7179913551035,66.9632908931,33.1825379837213,57.8133295653743,100,63.6652891830319,-3.29800171006812
"Dedza","dedza",0.472209833126797,0.52561890397487,0.995849895182646,0.664559544094771,0.319545092853471,0.630289658235878,1,0.649944917029783,-0.0146146270649881,47.2209833126797,52.561890397487,99.5849895182646,66.4559544094771,31.9545092853471,63.0289658235878,100,64.9944917029783,-1.46146270649881
"Dowa","dowa",0.486138846413319,0.575341975509226,0.997994722326964,0.68649184808317,0.322951835967387,0.717719554313214,1,0.6802237967602,-0.00626805132296937,48.6138846413319,57.5341975509226,99.7994722326964,68.649184808317,32.2951835967387,71.7719554313214,100,68.02237967602,-0.626805132296937
"Karonga","karonga",0.520225730940323,0.442181380669904,1,0.654135703870076,0.371220272350892,0.721451442315457,0.99142740111474,0.694699705260363,0.0405640013902873,52.0225730940323,44.2181380669904,100,65.4135703870076,37.1220272350892,72.1451442315457,99.142740111474,69.4699705260363,4.05640013902873
"Kasungu","kasungu",0.523673663929126,0.537236820165423,0.997940590772367,0.686283691622305,0.335085031099831,0.603791239374753,0.995267649030639,0.644714639835074,-0.0415690517872308,52.3673663929126,53.7236820165423,99.7940590772367,68.6283691622305,33.5085031099831,60.3791239374753,99.5267649030639,64.4714639835074,-4.15690517872308
"Likoma","likoma",0.428339088402062,0.675668643410636,0.997579706668303,0.700529146160334,0.261815290711117,0.685575060355843,1,0.64913011702232,-0.051399029138014,42.8339088402062,67.5668643410636,99.7579706668303,70.0529146160334,26.1815290711117,68.5575060355843,100,64.913011702232,-5.1399029138014
"Lilongwe","lilongwe",0.469558297402268,0.503257790706316,0.997646226325547,0.656820771478044,0.303621520617629,0.550998141882965,1,0.618206554166865,-0.0386142173111788,46.9558297402268,50.3257790706316,99.7646226325547,65.6820771478044,30.3621520617629,55.0998141882965,100,61.8206554166865,-3.86142173111788
"Machinga","machinga",0.631781387169424,0.503710180869825,0.99569672042471,0.710396096154653,0.409205628676408,0.653771287088374,0.997469764571891,0.686815560112224,-0.0235805360424287,63.1781387169424,50.3710180869825,99.569672042471,71.0396096154653,40.9205628676408,65.3771287088374,99.7469764571891,68.6815560112224,-2.35805360424287
"Mangochi","mangochi",0.532915351934108,0.460349149744768,0.990619483737838,0.661294661805571,0.417870945932564,0.686809633258189,1,0.701560193063584,0.0402655312580129,53.2915351934108,46.0349149744768,99.0619483737838,66.1294661805571,41.7870945932564,68.6809633258189,100,70.1560193063584,4.02655312580129
"Mchinji","mchinji",0.579492204817507,0.515028320938251,0.995510099940644,0.696676875232134,0.291379249054658,0.661441851894223,1,0.65094036698296,-0.0457365082491737,57.9492204817507,51.5028320938251,99.5510099940644,69.6676875232134,29.1379249054658,66.1441851894223,100,65.094036698296,-4.57365082491737
"Mulanje","mulanje",0.492496118615862,0.454960536250413,0.991801215978917,0.646419290281731,0.332509171828527,0.660142876571677,0.986580246289524,0.65974409822991,0.0133248079481793,49.2496118615862,45.4960536250413,99.1801215978917,64.6419290281731,33.2509171828527,66.0142876571677,98.6580246289524,65.974409822991,1.33248079481793
"Mwanza","mwanza",0.534213617907306,0.382211201260869,0.962961868331011,0.626462229166395,0.341599780346997,0.649977329787794,0.993461419478468,0.661679509871086,0.0352172807046909,53.4213617907306,38.2211201260869,96.2961868331011,62.6462229166395,34.1599780346997,64.9977329787794,99.3461419478468,66.1679509871086,3.52172807046909
"Mzimba","mzimba",0.520270585234879,0.570601821041784,0.989240523536087,0.69337097660425,0.335627834211228,0.598262220701718,1,0.644630018304315,-0.048740958299935,52.0270585234879,57.0601821041784,98.9240523536087,69.337097660425,33.5627834211228,59.8262220701718,100,64.4630018304315,-4.8740958299935
"Neno","neno",0.569055518212048,0.567608948069125,0.998054624606932,0.711573030296035,0.350512504412663,0.79436091409964,1,0.714957806170768,0.00338477587473307,56.9055518212048,56.7608948069125,99.8054624606932,71.1573030296035,35.0512504412663,79.436091409964,100,71.4957806170768,0.338477587473307
"Nkhata Bay","nkhata bay",0.488692330968697,0.573704100023521,1,0.687465476997406,0.367390337739463,0.744773278708593,1,0.704054538816018,0.0165890618186124,48.8692330968697,57.3704100023521,100,68.7465476997406,36.7390337739463,74.4773278708593,100,70.4054538816018,1.65890618186124
