"district_key","sba_2015","anc_2015","pnc_2015","coverage_2015","sba_2024","anc_2024","pnc_2024","coverage_2024","coverage_change"
"balaka",0.501529355715427,0.575452470666889,1,0.692327275460772,0.37811200825522,0.57992345226674,0.998112448450231,0.65204930299073,-0.0402779724700413
"blantyre",0.451867900195804,0.441274676619017,0.995963990332776,0.629702189049199,0.332930150557188,0.565706976147934,0.990849740979339,0.629828955894821,0.000126766845621296
"blantyre city",0.408769993195214,0.538213293995489,1,0.648994429063568,0.263245759884394,0.679791587583373,0.913016180206321,0.618684509224696,-0.0303099198388717
"chikwawa",0.569585248159078,0.374703365095795,0.997645654139781,0.647311422464885,0.377076991423906,0.481733750318557,0.986477951301012,0.615096231014492,-0.032215191450393
"chiradzulu",0.491528875401836,0.507061172347157,0.99711644218264,0.665235496643877,0.305710545247451,0.545278396511754,0.995225379850651,0.615404773869952,-0.0498307227739254
"chitipa",0.55014186552121,0.471576947720755,0.987179913551036,0.669632908931,0.331825379837213,0.578133295653743,1,0.636652891830319,-0.0329800171006812
"dedza",0.472209833126797,0.52561890397487,0.995849895182646,0.664559544094771,0.319545092853471,0.630289658235878,1,0.649944917029783,-0.0146146270649881
"dowa",0.486138846413319,0.575341975509226,0.997994722326964,0.68649184808317,0.322951835967387,0.717719554313214,1,0.6802237967602,-0.00626805132296937
"karonga",0.520225730940323,0.442181380669904,1,0.654135703870076,0.371220272350892,0.721451442315457,0.99142740111474,0.694699705260363,0.0405640013902873
"kasungu",0.523673663929126,0.537236820165423,0.997940590772367,0.686283691622305,0.335085031099831,0.603791239374753,0.995267649030639,0.644714639835074,-0.0415690517872308
"likoma",0.428339088402062,0.675668643410636,0.997579706668303,0.700529146160334,0.261815290711117,0.685575060355843,1,0.64913011702232,-0.051399029138014
"lilongwe",0.469558297402268,0.503257790706316,0.997646226325547,0.656820771478044,0.303621520617629,0.550998141882965,1,0.618206554166865,-0.0386142173111788
"lilongwe city",0.395038397021423,0.666912864258912,1,0.687317087093445,0.255719233820318,0.657490279553775,1,0.637736504458031,-0.049580582635414
"machinga",0.631781387169424,0.503710180869825,0.99569672042471,0.710396096154653,0.409205628676408,0.653771287088374,0.997469764571891,0.686815560112224,-0.0235805360424287
"mangochi",0.532915351934108,0.460349149744768,0.990619483737838,0.661294661805571,0.417870945932564,0.686809633258189,1,0.701560193063584,0.0402655312580129
"mchinji",0.579492204817507,0.515028320938251,0.995510099940644,0.696676875232134,0.291379249054658,0.661441851894223,1,0.65094036698296,-0.0457365082491737
"mulanje",0.492496118615862,0.454960536250413,0.991801215978917,0.646419290281731,0.332509171828527,0.660142876571677,0.986580246289524,0.65974409822991,0.0133248079481793
"mwanza",0.534213617907306,0.382211201260869,0.962961868331011,0.626462229166395,0.341599780346997,0.649977329787794,0.993461419478468,0.661679509871086,0.0352172807046909
"mzimba",0.520270585234879,0.570601821041784,0.989240523536087,0.69337097660425,0.335627834211228,0.598262220701718,1,0.644630018304315,-0.048740958299935
"mzuzu city",0.411924801607764,0.540000303108985,0.992590619122352,0.648171907946367,0.229584140351872,0.738572518066795,1,0.656052219472889,0.0078803115265218
"neno",0.569055518212048,0.567608948069125,0.998054624606932,0.711573030296035,0.350512504412663,0.79436091409964,1,0.714957806170768,0.00338477587473307
"nkhata bay",0.488692330968697,0.573704100023521,1,0.687465476997406,0.367390337739463,0.744773278708593,1,0.704054538816018,0.0165890618186124
"nkhotakota",0.472014625202256,0.466413716039662,0.997435868108787,0.645288069783569,0.365082863633329,0.667363044805913,0.989380299259467,0.673942069232903,0.0286539994493342
"nsanje",0.580197989324176,0.435815554177198,0.99421943407632,0.670077659192565,0.35685168498074,0.661333760290675,0.994114059229651,0.670766501500355,0.000688842307790538
"ntcheu",0.509531452359625,0.495816720682547,0.994076116089765,0.666474763043979,0.34425020679603,0.622701788671605,1,0.655650665155878,-0.0108240978881005
"ntchisi",0.583050068677112,0.564847711583938,0.992531003021858,0.713476261094303,0.314750098758329,0.67850282479935,1,0.664417641185893,-0.0490586199084098
"phalombe",0.540153168618156,0.622274578282778,0.993692952446221,0.718706899782385,0.305809717540652,0.582434179623587,1,0.62941463238808,-0.0892922673943054
"rumphi",0.521247173222584,0.438771090087405,0.999048325928869,0.653022196412953,0.313219582761156,0.607364984966566,1,0.640194855909241,-0.0128273405037117
"salima",0.561969469572714,0.434509359213226,0.993083319185931,0.66318738265729,0.349752209922944,0.592738961948886,0.995601180516368,0.646030784129399,-0.0171565985278908
"thyolo",0.436263370360815,0.444063341360147,0.99242725573545,0.624251322485471,0.316275147179222,0.569315377759964,0.994400322017048,0.626663615652078,0.0024122931666074
"zomba",0.532336552081803,0.469497061056608,0.997088819015045,0.666307477384485,0.344750432488569,0.702750023520291,0.991802532003775,0.679767662670878,0.0134601852863929
"zomba city",0.421527332786466,0.63659202353077,1,0.686039785439079,0.253910551522227,0.735650724572481,1,0.663187092031569,-0.0228526934075096
